Date Saved,04/06/2026 15:51:03
Title,AS7341-calRE2_037_02°_Under
CoolLED_nm,660
CoolLED_strength,25

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],Under
⊿uv,Under
Illuminance [lx],351
Illuminance [fc],32.6
Peak Wavelength [nm],659
Tristimulus Value X,900.1627
Tristimulus Value Y,351.3139
Tristimulus Value Z,16.1555
CIE1931 x,0.7101
CIE1931 y,0.2771
CIE1931 z,0.0127
CIE1976 u',0.5790
CIE1976 v',0.5085
Dominant Wavelength [nm],648
Purity [%],96.2
PPFD [umolm⁻²s⁻¹],32.3
CRI Ra,Under
CRI R1,Under
CRI R2,Under
CRI R3,Under
CRI R4,Under
CRI R5,Under
CRI R6,Under
CRI R7,Under
CRI R8,Under
CRI R9,Under
CRI R10,Under
CRI R11,Under
CRI R12,Under
CRI R13,Under
CRI R14,Under
CRI R15,Under
TM-30 Rf,Under
TM-30 Rg,Under
SSIt,Under
SSId,Under
SSI1,---
SSI2,---
TLCI,Under
TLMF,---

Spectral Data 380[nm],0.000964053150
Spectral Data 385[nm],0.001050745370
Spectral Data 390[nm],0.000821957889
Spectral Data 395[nm],0.000863419380
Spectral Data 400[nm],0.001060941373
Spectral Data 405[nm],0.000970783818
Spectral Data 410[nm],0.000763771066
Spectral Data 415[nm],0.000567279116
Spectral Data 420[nm],0.000547983567
Spectral Data 425[nm],0.000409286818
Spectral Data 430[nm],0.000322875829
Spectral Data 435[nm],0.000485817611
Spectral Data 440[nm],0.000545503921
Spectral Data 445[nm],0.000375656411
Spectral Data 450[nm],0.000103115730
Spectral Data 455[nm],0.000038984748
Spectral Data 460[nm],0.000022777307
Spectral Data 465[nm],0.000000000000
Spectral Data 470[nm],0.000000000000
Spectral Data 475[nm],0.000000000000
Spectral Data 480[nm],0.000000000000
Spectral Data 485[nm],0.000000000000
Spectral Data 490[nm],0.000000000000
Spectral Data 495[nm],0.000013785416
Spectral Data 500[nm],0.000169237013
Spectral Data 505[nm],0.000281046930
Spectral Data 510[nm],0.000188149133
Spectral Data 515[nm],0.000132291869
Spectral Data 520[nm],0.000140862525
Spectral Data 525[nm],0.000062476705
Spectral Data 530[nm],0.000043436754
Spectral Data 535[nm],0.000070228780
Spectral Data 540[nm],0.000163584264
Spectral Data 545[nm],0.000154166410
Spectral Data 550[nm],0.000126387036
Spectral Data 555[nm],0.000143324083
Spectral Data 560[nm],0.000064257016
Spectral Data 565[nm],0.000142262696
Spectral Data 570[nm],0.000251725171
Spectral Data 575[nm],0.000231956976
Spectral Data 580[nm],0.000249499484
Spectral Data 585[nm],0.000080284626
Spectral Data 590[nm],0.000111926136
Spectral Data 595[nm],0.000143705183
Spectral Data 600[nm],0.000266472751
Spectral Data 605[nm],0.000664434046
Spectral Data 610[nm],0.001547050895
Spectral Data 615[nm],0.003215238219
Spectral Data 620[nm],0.006075081415
Spectral Data 625[nm],0.010757980868
Spectral Data 630[nm],0.018828485161
Spectral Data 635[nm],0.032560776919
Spectral Data 640[nm],0.054856576025
Spectral Data 645[nm],0.089775808156
Spectral Data 650[nm],0.141439840198
Spectral Data 655[nm],0.198429703712
Spectral Data 660[nm],0.218087121844
Spectral Data 665[nm],0.175890311599
Spectral Data 670[nm],0.107359372079
Spectral Data 675[nm],0.056861355901
Spectral Data 680[nm],0.028932424262
Spectral Data 685[nm],0.013968166895
Spectral Data 690[nm],0.005958172958
Spectral Data 695[nm],0.002383225132
Spectral Data 700[nm],0.001110696001
Spectral Data 705[nm],0.000565395225
Spectral Data 710[nm],0.000217225795
Spectral Data 715[nm],0.000015353990
Spectral Data 720[nm],0.000000783131
Spectral Data 725[nm],0.000083451407
Spectral Data 730[nm],0.000180536852
Spectral Data 735[nm],0.000121875419
Spectral Data 740[nm],0.000022020024
Spectral Data 745[nm],0.000014314360
Spectral Data 750[nm],0.000156727881
Spectral Data 755[nm],0.000299901236
Spectral Data 760[nm],0.000053002503
Spectral Data 765[nm],0.000175212597
Spectral Data 770[nm],0.000183271346
Spectral Data 775[nm],0.000059745613
Spectral Data 780[nm],0.000163177770

Spectral Data 380[nm],0.000967201777
