Date Saved,12/05/2026 15:46,,,
Title,AS7341-cal_033_02°_Under,,,
CoolLED_snm,660,,,
CoolLED_strength,80,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],Under,,,
⊿uv,Under,,,
Illuminance [lx],495,,,
Illuminance [fc],46,,,
Peak Wavelength [nm],661,,,
Tristimulus Value X,1270.6257,,,
Tristimulus Value Y,494.9847,,,
Tristimulus Value Z,2.3841,,,
CIE1931 x,0.7187,,,
CIE1931 y,0.28,,,
CIE1931 z,0.0013,,,
CIE1976 u',0.584,,,
CIE1976 v',0.5119,,,
Dominant Wavelength [nm],641,,,
Purity [%],99.6,,,
PPFD [umolm⁻²s⁻¹],50.3,,,
CRI Ra,Under,,,
CRI R1,Under,,,
CRI R2,Under,,,
CRI R3,Under,,,
CRI R4,Under,,,
CRI R5,Under,,,
CRI R6,Under,,,
CRI R7,Under,,,
CRI R8,Under,,,
CRI R9,Under,,,
CRI R10,Under,,,
CRI R11,Under,,,
CRI R12,Under,,,
CRI R13,Under,,,
CRI R14,Under,,,
CRI R15,Under,,,
TM-30 Rf,Under,,,
TM-30 Rg,Under,,,
SSIt,Under,,,
SSId,Under,,,
SSI1,---,,,
SSI2,---,,,
TLCI,Under,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0,,,
Spectral Data 385[nm],0,,,
Spectral Data 390[nm],0,,,
Spectral Data 395[nm],0,,,
Spectral Data 400[nm],0,,,
Spectral Data 405[nm],0,,,
Spectral Data 410[nm],0,,,
Spectral Data 415[nm],0,,,
Spectral Data 420[nm],0,,,
Spectral Data 425[nm],0,,,
Spectral Data 430[nm],0,,,
Spectral Data 435[nm],0,,,
Spectral Data 440[nm],0,,,
Spectral Data 445[nm],0,,,
Spectral Data 450[nm],0,,,
Spectral Data 455[nm],0,,,
Spectral Data 460[nm],0,,,
Spectral Data 465[nm],0,,,
Spectral Data 470[nm],0,,,
Spectral Data 475[nm],0,,,
Spectral Data 480[nm],0,,,
Spectral Data 485[nm],0,,,
Spectral Data 490[nm],0,,,
Spectral Data 495[nm],2.00874E-05,,,
Spectral Data 500[nm],0.001100636,,,
Spectral Data 505[nm],0.001247303,,,
Spectral Data 510[nm],0.000390283,,,
Spectral Data 515[nm],0.000270589,,,
Spectral Data 520[nm],5.30969E-06,,,
Spectral Data 525[nm],0.000106061,,,
Spectral Data 530[nm],1.18624E-05,,,
Spectral Data 535[nm],0,,,
Spectral Data 540[nm],0.00026898,,,
Spectral Data 545[nm],0.000779905,,,
Spectral Data 550[nm],0.0002091,,,
Spectral Data 555[nm],0,,,
Spectral Data 560[nm],0,,,
Spectral Data 565[nm],0,,,
Spectral Data 570[nm],0,,,
Spectral Data 575[nm],0,,,
Spectral Data 580[nm],0,,,
Spectral Data 585[nm],0,,,
Spectral Data 590[nm],0,,,
Spectral Data 595[nm],0,,,
Spectral Data 600[nm],4.69497E-05,,,
Spectral Data 605[nm],0.000445734,,,
Spectral Data 610[nm],0.001264832,,,
Spectral Data 615[nm],0.003693485,,,
Spectral Data 620[nm],0.00839475,,,
Spectral Data 625[nm],0.015294104,,,
Spectral Data 630[nm],0.026747756,,,
Spectral Data 635[nm],0.045709901,,,
Spectral Data 640[nm],0.075436823,,,
Spectral Data 645[nm],0.120439388,,,
Spectral Data 650[nm],0.18501845,,,
Spectral Data 655[nm],0.264363438,,,
Spectral Data 660[nm],0.31413123,,,
Spectral Data 665[nm],0.290916085,,,
Spectral Data 670[nm],0.207258299,,,
Spectral Data 675[nm],0.124548927,,,
Spectral Data 680[nm],0.070121266,,,
Spectral Data 685[nm],0.037708696,,,
Spectral Data 690[nm],0.017903967,,,
Spectral Data 695[nm],0.008453773,,,
Spectral Data 700[nm],0.004022682,,,
Spectral Data 705[nm],0.000538647,,,
Spectral Data 710[nm],0.000539376,,,
Spectral Data 715[nm],1.20325E-05,,,
Spectral Data 720[nm],6.17018E-05,,,
Spectral Data 725[nm],3.73442E-05,,,
Spectral Data 730[nm],0,,,
Spectral Data 735[nm],0,,,
Spectral Data 740[nm],0,,,
Spectral Data 745[nm],0,,,
Spectral Data 750[nm],6.79815E-05,,,
Spectral Data 755[nm],4.03241E-05,,,
Spectral Data 760[nm],0,,,
Spectral Data 765[nm],0,,,
Spectral Data 770[nm],0,,,
Spectral Data 775[nm],0,,,
Spectral Data 780[nm],0,,,
,,,,
Spectral Data 380[nm],0,,,
Spectral Data 381[nm],0,,,
Spectral Data 382[nm],0,,,
Spectral Data 383[nm],0,,,
Spectral Data 384[nm],0,,,
Spectral Data 385[nm],0,,,
Spectral Data 386[nm],0,,,
Spectral Data 387[nm],0,,,
Spectral Data 388[nm],0,,,
Spectral Data 389[nm],0,,,
Spectral Data 390[nm],0,,,
Spectral Data 391[nm],0,,,
Spectral Data 392[nm],0,,,
Spectral Data 393[nm],0,,,
Spectral Data 394[nm],0,,,
Spectral Data 395[nm],0,,,
Spectral Data 396[nm],0,,,
Spectral Data 397[nm],0,,,
Spectral Data 398[nm],0,,,
Spectral Data 399[nm],0,,,
Spectral Data 400[nm],0,,,
Spectral Data 401[nm],0,,,
Spectral Data 402[nm],0,,,
Spectral Data 403[nm],0,,,
Spectral Data 404[nm],0,,,
Spectral Data 405[nm],0,,,
Spectral Data 406[nm],0,,,
Spectral Data 407[nm],0,,,
Spectral Data 408[nm],0,,,
Spectral Data 409[nm],0,,,
Spectral Data 410[nm],0,,,
Spectral Data 411[nm],0,,,
Spectral Data 412[nm],0,,,
Spectral Data 413[nm],0,,,
Spectral Data 414[nm],0,,,
Spectral Data 415[nm],0,,,
Spectral Data 416[nm],0,,,
Spectral Data 417[nm],0,,,
Spectral Data 418[nm],0,,,
Spectral Data 419[nm],0,,,
Spectral Data 420[nm],0,,,
Spectral Data 421[nm],0,,,
Spectral Data 422[nm],0,,,
Spectral Data 423[nm],0,,,
Spectral Data 424[nm],0,,,
Spectral Data 425[nm],0,,,
Spectral Data 426[nm],0,,,
Spectral Data 427[nm],0,,,
Spectral Data 428[nm],0,,,
Spectral Data 429[nm],0,,,
Spectral Data 430[nm],0,,,
Spectral Data 431[nm],0,,,
Spectral Data 432[nm],0,,,
Spectral Data 433[nm],0,,,
Spectral Data 434[nm],0,,,
Spectral Data 435[nm],0,,,
Spectral Data 436[nm],0,,,
Spectral Data 437[nm],0,,,
Spectral Data 438[nm],0,,,
Spectral Data 439[nm],0,,,
Spectral Data 440[nm],0,,,
Spectral Data 441[nm],0,,,
Spectral Data 442[nm],0,,,
Spectral Data 443[nm],0,,,
Spectral Data 444[nm],0,,,
Spectral Data 445[nm],0,,,
Spectral Data 446[nm],0,,,
Spectral Data 447[nm],0,,,
