Date Saved,14/05/2026 09:44,,,
Title,AS7341-cal_039_02°_Over,,,
CoolLED_nm,435,,,
CoolLED_strength,50,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],Over,,,
⊿uv,Over,,,
Illuminance [lx],51.8,,,
Illuminance [fc],4.81,,,
Peak Wavelength [nm],431,,,
Tristimulus Value X,947.6635,,,
Tristimulus Value Y,51.8249,,,
Tristimulus Value Z,4693.4834,,,
CIE1931 x,0.1665,,,
CIE1931 y,0.0091,,,
CIE1931 z,0.8244,,,
CIE1976 u',0.2398,,,
CIE1976 v',0.0295,,,
Dominant Wavelength [nm],436,,,
Purity [%],100,,,
PPFD [umolm⁻²s⁻¹],19.1,,,
CRI Ra,Over,,,
CRI R1,Over,,,
CRI R2,Over,,,
CRI R3,Over,,,
CRI R4,Over,,,
CRI R5,Over,,,
CRI R6,Over,,,
CRI R7,Over,,,
CRI R8,Over,,,
CRI R9,Over,,,
CRI R10,Over,,,
CRI R11,Over,,,
CRI R12,Over,,,
CRI R13,Over,,,
CRI R14,Over,,,
CRI R15,Over,,,
TM-30 Rf,Over,,,
TM-30 Rg,Over,,,
SSIt,Under,,,
SSId,Under,,,
SSI1,---,,,
SSI2,---,,,
TLCI,Over,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0,,,
Spectral Data 385[nm],0,,,
Spectral Data 390[nm],0,,,
Spectral Data 395[nm],0.000176223,,,
Spectral Data 400[nm],0.002025763,,,
Spectral Data 405[nm],0.007694596,,,
Spectral Data 410[nm],0.022147141,,,
Spectral Data 415[nm],0.053951252,,,
Spectral Data 420[nm],0.111251101,,,
Spectral Data 425[nm],0.182019323,,,
Spectral Data 430[nm],0.225078806,,,
Spectral Data 435[nm],0.205783799,,,
Spectral Data 440[nm],0.139174029,,,
Spectral Data 445[nm],0.070445411,,,
Spectral Data 450[nm],0.027970662,,,
Spectral Data 455[nm],0.009122819,,,
Spectral Data 460[nm],0.002837778,,,
Spectral Data 465[nm],0.001177642,,,
Spectral Data 470[nm],0.000604217,,,
Spectral Data 475[nm],0.000277529,,,
Spectral Data 480[nm],0.000143883,,,
