Date Saved,14/05/2026 09:44,,,
Title,AS7341-cal_056_02°_5400K,,,
Direct sun,,,,
,,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
Tcp [K],5400,,,
⊿uv,0.0029,,,
Illuminance [lx],101000,,,
Illuminance [fc],9410,,,
Peak Wavelength [nm],535,,,
Tristimulus Value X,97247.7802,,,
Tristimulus Value Y,101283.7372,,,
Tristimulus Value Z,91828.6863,,,
CIE1931 x,0.3349,,,
CIE1931 y,0.3488,,,
CIE1931 z,0.3163,,,
CIE1976 u',0.2056,,,
CIE1976 v',0.4818,,,
Dominant Wavelength [nm],559,,,
Purity [%],5.2,,,
PPFD [umolm⁻²s⁻¹],1809.8,,,
CRI Ra,99.5,,,
CRI R1,99.8,,,
CRI R2,99.5,,,
CRI R3,99.1,,,
CRI R4,99.6,,,
CRI R5,99.7,,,
CRI R6,99.3,,,
CRI R7,99.4,,,
CRI R8,99.3,,,
CRI R9,98.7,,,
CRI R10,98.8,,,
CRI R11,99.5,,,
CRI R12,98.3,,,
CRI R13,99.7,,,
CRI R14,99.5,,,
CRI R15,99.7,,,
TM-30 Rf,100,,,
TM-30 Rg,100,,,
SSIt,60,,,
SSId,98,,,
SSI1,---,,,
SSI2,---,,,
TLCI,100,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0.423408836,,,
Spectral Data 385[nm],0.467991918,,,
Spectral Data 390[nm],0.52137965,,,
Spectral Data 395[nm],0.612643421,,,
Spectral Data 400[nm],0.727726936,,,
Spectral Data 405[nm],0.828476489,,,
Spectral Data 410[nm],0.913567603,,,
Spectral Data 415[nm],0.98810631,,,
Spectral Data 420[nm],1.019756198,,,
Spectral Data 425[nm],1.004611254,,,
Spectral Data 430[nm],1.010715365,,,
Spectral Data 435[nm],1.068721533,,,
Spectral Data 440[nm],1.14661324,,,
Spectral Data 445[nm],1.22255981,,,
Spectral Data 450[nm],1.302038074,,,
Spectral Data 455[nm],1.375963569,,,
Spectral Data 460[nm],1.407573342,,,
