Date Saved,05/06/2026 09:01:34
Title,AS7341-c7000REF_001_02°_9229K

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],9229
⊿uv,0.0062
Illuminance [lx],1740
Illuminance [fc],162
Peak Wavelength [nm],454
Tristimulus Value X,1628.8933
Tristimulus Value Y,1742.8924
Tristimulus Value Z,2406.9499
CIE1931 x,0.2819
CIE1931 y,0.3016
CIE1931 z,0.4165
CIE1976 u',0.1862
CIE1976 v',0.4483
Dominant Wavelength [nm],483
Purity [%],20.1
PPFD [umolm⁻²s⁻¹],33.4
CRI Ra,97.7
CRI R1,98.0
CRI R2,97.9
CRI R3,98.2
CRI R4,98.5
CRI R5,98.6
CRI R6,97.5
CRI R7,97.2
CRI R8,95.4
CRI R9,85.1
CRI R10,95.4
CRI R11,98.5
CRI R12,98.0
CRI R13,97.2
CRI R14,98.9
CRI R15,96.9
TM-30 Rf,97
TM-30 Rg,100
SSIt,35
SSId,79
SSI1,---
SSI2,---
TLCI,99
TLMF,---

Spectral Data 380[nm],0.014090374112
Spectral Data 385[nm],0.015250093304
Spectral Data 390[nm],0.016515053809
Spectral Data 395[nm],0.019260736182
Spectral Data 400[nm],0.023180456832
Spectral Data 405[nm],0.026543142274
Spectral Data 410[nm],0.028527606279
Spectral Data 415[nm],0.029639612883
Spectral Data 420[nm],0.029845710844
Spectral Data 425[nm],0.029140485451
Spectral Data 430[nm],0.028787728399
Spectral Data 435[nm],0.029857274145
Spectral Data 440[nm],0.031855136156
Spectral Data 445[nm],0.033911690116
Spectral Data 450[nm],0.035475913435
Spectral Data 455[nm],0.036029599607
Spectral Data 460[nm],0.035967387259
Spectral Data 465[nm],0.035881981254
Spectral Data 470[nm],0.035452645272
Spectral Data 475[nm],0.034833006561
Spectral Data 480[nm],0.034240037203
Spectral Data 485[nm],0.033381011337
Spectral Data 490[nm],0.032802049071
Spectral Data 495[nm],0.032391723245
Spectral Data 500[nm],0.031594574451
Spectral Data 505[nm],0.030663188547
Spectral Data 510[nm],0.029922377318
Spectral Data 515[nm],0.029126493260
Spectral Data 520[nm],0.028366900980
Spectral Data 525[nm],0.027867300436
Spectral Data 530[nm],0.027460940182
Spectral Data 535[nm],0.027074119076
Spectral Data 540[nm],0.026515340433
Spectral Data 545[nm],0.025833234191
Spectral Data 550[nm],0.025223977864
Spectral Data 555[nm],0.024493075907
Spectral Data 560[nm],0.023437447846
Spectral Data 565[nm],0.022207792848
Spectral Data 570[nm],0.021054476500
Spectral Data 575[nm],0.020402856171
Spectral Data 580[nm],0.020207446069
Spectral Data 585[nm],0.019768832251
Spectral Data 590[nm],0.018981069326
Spectral Data 595[nm],0.018528088927
Spectral Data 600[nm],0.018639756367
Spectral Data 605[nm],0.018926609308
Spectral Data 610[nm],0.019116779789
Spectral Data 615[nm],0.019096914679
Spectral Data 620[nm],0.018781598657
Spectral Data 625[nm],0.018322559074
Spectral Data 630[nm],0.018149521202
Spectral Data 635[nm],0.018418738618
Spectral Data 640[nm],0.018598873168
Spectral Data 645[nm],0.018299214542
Spectral Data 650[nm],0.017907170579
Spectral Data 655[nm],0.018053013831
Spectral Data 660[nm],0.018683174625
Spectral Data 665[nm],0.019287705421
Spectral Data 670[nm],0.019608682021
Spectral Data 675[nm],0.019619936123
Spectral Data 680[nm],0.018769050017
Spectral Data 685[nm],0.017058579251
Spectral Data 690[nm],0.015788078308
Spectral Data 695[nm],0.015618953854
Spectral Data 700[nm],0.016062952578
Spectral Data 705[nm],0.016452023759
Spectral Data 710[nm],0.015734210610
Spectral Data 715[nm],0.013719492592
Spectral Data 720[nm],0.011869709939
Spectral Data 725[nm],0.011437947862
