Date Saved,04/06/2026 19:49:54
Title,AS7341-calRE2_046_02°_7405K

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],7405
⊿uv,0.0033
Illuminance [lx],4320
Illuminance [fc],402
Peak Wavelength [nm],455
Tristimulus Value X,4101.9705
Tristimulus Value Y,4323.1013
Tristimulus Value Z,5239.9740
CIE1931 x,0.3002
CIE1931 y,0.3164
CIE1931 z,0.3835
CIE1976 u',0.1938
CIE1976 v',0.4595
Dominant Wavelength [nm],485
Purity [%],12.6
PPFD [umolm⁻²s⁻¹],80.3
CRI Ra,98.5
CRI R1,98.2
CRI R2,99.0
CRI R3,99.5
CRI R4,98.5
CRI R5,98.5
CRI R6,98.9
CRI R7,98.6
CRI R8,96.7
CRI R9,90.0
CRI R10,97.7
CRI R11,98.5
CRI R12,98.4
CRI R13,98.3
CRI R14,99.7
CRI R15,97.4
TM-30 Rf,99
TM-30 Rg,100
SSIt,42
SSId,85
SSI1,---
SSI2,---
TLCI,100
TLMF,---

Spectral Data 380[nm],0.032262466848
Spectral Data 385[nm],0.034691628069
Spectral Data 390[nm],0.037289503962
Spectral Data 395[nm],0.043158054352
Spectral Data 400[nm],0.051567953080
Spectral Data 405[nm],0.058735385537
Spectral Data 410[nm],0.062853880227
Spectral Data 415[nm],0.065059714019
Spectral Data 420[nm],0.065361626446
Spectral Data 425[nm],0.063734598458
Spectral Data 430[nm],0.062806069851
Spectral Data 435[nm],0.064883537591
Spectral Data 440[nm],0.068999312818
Spectral Data 445[nm],0.073304452002
Spectral Data 450[nm],0.076633520424
Spectral Data 455[nm],0.077906019986
Spectral Data 460[nm],0.077867411077
Spectral Data 465[nm],0.077692106366
Spectral Data 470[nm],0.076856955886
Spectral Data 475[nm],0.075764402747
Spectral Data 480[nm],0.074780233204
Spectral Data 485[nm],0.073171637952
Spectral Data 490[nm],0.072103939950
Spectral Data 495[nm],0.071495324373
Spectral Data 500[nm],0.070295616984
Spectral Data 505[nm],0.068907290697
Spectral Data 510[nm],0.067713774741
Spectral Data 515[nm],0.066301599145
Spectral Data 520[nm],0.065290145576
Spectral Data 525[nm],0.065094687045
Spectral Data 530[nm],0.065034650266
Spectral Data 535[nm],0.064843803644
Spectral Data 540[nm],0.064122714102
Spectral Data 545[nm],0.063129261136
Spectral Data 550[nm],0.062316864729
Spectral Data 555[nm],0.061256945133
Spectral Data 560[nm],0.059604894370
Spectral Data 565[nm],0.057602565736
Spectral Data 570[nm],0.055647071451
Spectral Data 575[nm],0.054567053914
Spectral Data 580[nm],0.054160997272
Spectral Data 585[nm],0.052981749177
Spectral Data 590[nm],0.051166377962
Spectral Data 595[nm],0.050367619842
Spectral Data 600[nm],0.050951860845
Spectral Data 605[nm],0.051710322499
Spectral Data 610[nm],0.051814407110
Spectral Data 615[nm],0.051326856017
Spectral Data 620[nm],0.050378438085
Spectral Data 625[nm],0.049175523221
Spectral Data 630[nm],0.048574622720
Spectral Data 635[nm],0.048886194825
Spectral Data 640[nm],0.048931151628
Spectral Data 645[nm],0.047903630883
Spectral Data 650[nm],0.046666711569
Spectral Data 655[nm],0.046683985740
Spectral Data 660[nm],0.047820027918
Spectral Data 665[nm],0.048940673470
Spectral Data 670[nm],0.049453735352
Spectral Data 675[nm],0.049300312996
Spectral Data 680[nm],0.047403384000
Spectral Data 685[nm],0.043740447611
Spectral Data 690[nm],0.041023097932
Spectral Data 695[nm],0.040680695325
Spectral Data 700[nm],0.041674222797
Spectral Data 705[nm],0.042568977922
Spectral Data 710[nm],0.040939494967
Spectral Data 715[nm],0.036370038986
Spectral Data 720[nm],0.032190863043
Spectral Data 725[nm],0.031300611794
Spectral Data 730[nm],0.034060627222
Spectral Data 735[nm],0.038444735110
Spectral Data 740[nm],0.042006611824
Spectral Data 745[nm],0.043807130307
Spectral Data 750[nm],0.042307376862
Spectral Data 755[nm],0.036320671439
Spectral Data 760[nm],0.029902806506
Spectral Data 765[nm],0.029756676406
Spectral Data 770[nm],0.035554312170
Spectral Data 775[nm],0.039696343243
Spectral Data 780[nm],0.041338618845

Spectral Data 380[nm],0.032508723438
Spectral Data 381[nm],0.033096455038
Spectral Data 382[nm],0.033549003303
Spectral Data 383[nm],0.033937212080
Spectral Data 384[nm],0.034289624542
Spectral Data 385[nm],0.034624207765
Spectral Data 386[nm],0.034958932549
Spectral Data 387[nm],0.035313840955
Spectral Data 388[nm],0.035725381225
Spectral Data 389[nm],0.036237780005
Spectral Data 390[nm],0.036895293742
Spectral Data 391[nm],0.037740364671
Spectral Data 392[nm],0.038783237338
Spectral Data 393[nm],0.040006637573
Spectral Data 394[nm],0.041392393410
Spectral Data 395[nm],0.042922243476
Spectral Data 396[nm],0.044572412968
Spectral Data 397[nm],0.046310715377
Spectral Data 398[nm],0.048104271293
Spectral Data 399[nm],0.049920190126
Spectral Data 400[nm],0.051723077893
Spectral Data 401[nm],0.053470559418
Spectral Data 402[nm],0.055119022727
Spectral Data 403[nm],0.056624870747
Spectral Data 404[nm],0.057952344418
Spectral Data 405[nm],0.059108167887
Spectral Data 406[nm],0.060113359243
Spectral Data 407[nm],0.060988936573
Spectral Data 408[nm],0.061755605042
Spectral Data 409[nm],0.062430433929
Spectral Data 410[nm],0.063028246164
Spectral Data 411[nm],0.063563823700
Spectral Data 412[nm],0.064051575959
Spectral Data 413[nm],0.064495205879
Spectral Data 414[nm],0.064886540174
Spectral Data 415[nm],0.065216779709
Spectral Data 416[nm],0.065477140248
Spectral Data 417[nm],0.065657801926
Spectral Data 418[nm],0.065746933222
Spectral Data 419[nm],0.065732456744
Spectral Data 420[nm],0.065602310002
Spectral Data 421[nm],0.065351903439
Spectral Data 422[nm],0.065004870296
Spectral Data 423[nm],0.064591482282
Spectral Data 424[nm],0.064142011106
Spectral Data 425[nm],0.063686966896
Spectral Data 426[nm],0.063260391355
Spectral Data 427[nm],0.062897600234
Spectral Data 428[nm],0.062633857131
Spectral Data 429[nm],0.062503173947
Spectral Data 430[nm],0.062520034611
Spectral Data 431[nm],0.062683433294
Spectral Data 432[nm],0.062991969287
Spectral Data 433[nm],0.063444010913
Spectral Data 434[nm],0.064028598368
Spectral Data 435[nm],0.064721651375
Spectral Data 436[nm],0.065498098731
Spectral Data 437[nm],0.066332861781
Spectral Data 438[nm],0.067204207182
Spectral Data 439[nm],0.068099007010
Spectral Data 440[nm],0.069005630910
Spectral Data 441[nm],0.069912433624
Spectral Data 442[nm],0.070808514953
Spectral Data 443[nm],0.071687541902
Spectral Data 444[nm],0.072544746101
Spectral Data 445[nm],0.073375359178
Spectral Data 446[nm],0.074174262583
Spectral Data 447[nm],0.074931763113
Spectral Data 448[nm],0.075634919107
Spectral Data 449[nm],0.076270692050
Spectral Data 450[nm],0.076826192439
Spectral Data 451[nm],0.077290013433
Spectral Data 452[nm],0.077652700245
Spectral Data 453[nm],0.077905073762
Spectral Data 454[nm],0.078037977219
Spectral Data 455[nm],0.078055277467
Spectral Data 456[nm],0.077996887267
Spectral Data 457[nm],0.077909134328
Spectral Data 458[nm],0.077838338912
Spectral Data 459[nm],0.077822647989
Spectral Data 460[nm],0.077851049602
Spectral Data 461[nm],0.077894598246
Spectral Data 462[nm],0.077924326062
Spectral Data 463[nm],0.077912695706
Spectral Data 464[nm],0.077852837741
Spectral Data 465[nm],0.077753379941
Spectral Data 466[nm],0.077623315156
Spectral Data 467[nm],0.077471561730
Spectral Data 468[nm],0.077302455902
Spectral Data 469[nm],0.077113658190
Spectral Data 470[nm],0.076902359724
Spectral Data 471[nm],0.076665751636
Spectral Data 472[nm],0.076406538486
Spectral Data 473[nm],0.076143324375
Spectral Data 474[nm],0.075897805393
Spectral Data 475[nm],0.075691670179
Spectral Data 476[nm],0.075540624559
Spectral Data 477[nm],0.075422599912
Spectral Data 478[nm],0.075300827622
Spectral Data 479[nm],0.075138524175
Spectral Data 480[nm],0.074901148677
Spectral Data 481[nm],0.074588365853
Spectral Data 482[nm],0.074226148427
Spectral Data 483[nm],0.073841117322
Spectral Data 484[nm],0.073459856212
Spectral Data 485[nm],0.073103316128
Spectral Data 486[nm],0.072783760726
Spectral Data 487[nm],0.072512835264
Spectral Data 488[nm],0.072302155197
Spectral Data 489[nm],0.072156168520
Spectral Data 490[nm],0.072057157755
Spectral Data 491[nm],0.071983225644
Spectral Data 492[nm],0.071912467480
Spectral Data 493[nm],0.071824587882
Spectral Data 494[nm],0.071710422635
Spectral Data 495[nm],0.071565330029
Spectral Data 496[nm],0.071384668350
Spectral Data 497[nm],0.071164257824
Spectral Data 498[nm],0.070907399058
Spectral Data 499[nm],0.070623457432
Spectral Data 500[nm],0.070321954787
Spectral Data 501[nm],0.070012442768
Spectral Data 502[nm],0.069704011083
Spectral Data 503[nm],0.069404929876
Spectral Data 504[nm],0.069123446941
Spectral Data 505[nm],0.068867802620
Spectral Data 506[nm],0.068641424179
Spectral Data 507[nm],0.068432115018
Spectral Data 508[nm],0.068224519491
Spectral Data 509[nm],0.068003259599
Spectral Data 510[nm],0.067755028605
Spectral Data 511[nm],0.067480713129
Spectral Data 512[nm],0.067187212408
